bloque,familia,subfamilia,codigo,descripcion,equivalencia_nuevo,equivalencia_existente,equivalencia_unica
Nuevos Negocios,APP,Firma Digital,198604,3G mobile form,,,3.0
Nuevos Negocios,APP,Gestión Laboral,126675,SESAME TIME 20 USUARIOS ANUAL CP,,,243.0
Nuevos Negocios,APP,Gestión Laboral,126679,SESAME TIME 40 USUARIOS ANUAL CP,,,405.0
Nuevos Negocios,APP,Gestión Laboral,126683,SESAME TIME 70 USUARIOS ANUAL CP,,,657.0
Nuevos Negocios,APP,Gestión Laboral,126687,SESAME TIME 99 USUARIOS ANUAL CP,,,819.0
Nuevos Negocios,APP,Gestión Laboral,397344,Vodafone Gestion Laboral - Time,,,21.0
Nuevos Negocios,APP,Gestión Laboral,397345,Vodafone Gestion Laboral - Advanced,,,27.0
Nuevos Negocios,APP,Gestión Laboral,397346,Vodafone Gestion Laboral - HR Starter,,,36.0
Nuevos Negocios,APP,Gestión Laboral,397347,Vodafone Gestion Laboral - HR Professional,,,42.0
Nuevos Negocios,APP,Gestión Laboral,466156,Vodafone Gestion Laboral - Time Mensual- Pago x Uso,,,3.0
Nuevos Negocios,APP,Gestión Laboral,466157,Vodafone Gestion Laboral - Advanced Mensual - Pago x Uso,,,3.5
Nuevos Negocios,APP,Gestión Laboral,466158,Vodafone Gestion Laboral - HR Starter Mensual- Pago x Uso,,,4.75
Nuevos Negocios,APP,Gestión Laboral,466159,Vodafone Gestion Laboral - HR Profesional Mensual - Pago x Uso,,,5.5
Nuevos Negocios,APP,Gestión Laboral,466160,Vodafone Gestion Laboral - Time Anual - 24 meses,,,15.96
Nuevos Negocios,APP,Gestión Laboral,466161,Vodafone Gestion Laboral - Advanced Anual - 24 meses,,,21.96
Nuevos Negocios,APP,Gestión Laboral,466162,Vodafone Gestion Laboral - HR Starter Anual- 24 meses,,,27.96
Nuevos Negocios,APP,Gestión Laboral,466163,Vodafone Gestion Laboral - HR Profesional Anual - 24 meses,,,33.96
Nuevos Negocios,APP,Gestión Laboral,466164,Vodafone Gestion Laboral - Time Temporal - 24 meses,,,18.0
Nuevos Negocios,APP,Gestión Laboral,466165,Vodafone Gestion Laboral - Advanced Temporal - 24 meses,,,21.96
Nuevos Negocios,APP,Gestión Laboral,466166,Vodafone Gestion Laboral - HR Starter Temporal - 24 meses,,,27.96
Nuevos Negocios,APP,Gestión Laboral,466167,Vodafone Gestion Laboral - HR Profesional Temporal - 24 meses,,,32.04
Nuevos Negocios,APP,Gestión Laboral,466168,Vodafone Gestion Laboral - Time Mensual - Sin Permanencia,,,3.0
Nuevos Negocios,APP,Gestión Laboral,466169,Vodafone Gestion Laboral - Advanced Mensual - Sin Permanencia,,,3.5
Nuevos Negocios,APP,Gestión Laboral,466170,Vodafone Gestion Laboral - HR Starter Mensual - Sin Permanencia,,,4.75
Nuevos Negocios,APP,Gestión Laboral,466171,Vodafone Gestion Laboral - HR Profesional Mensual - Sin Permanencia,,,5.5
Nuevos Negocios,APP,Gestión Laboral,466172,Vodafone Gestion Laboral - Time Mensual- 12 meses,,,14.4
Nuevos Negocios,APP,Gestión Laboral,466173,Vodafone Gestion Laboral - Advanced Mensual - 12 meses,,,18.0
Nuevos Negocios,APP,Gestión Laboral,466174,Vodafone Gestion Laboral - HR Starter Mensual- 12 meses,,,23.4
Nuevos Negocios,APP,Gestión Laboral,466175,Vodafone Gestion Laboral - HR Profesional Mensual - 12 meses,,,28.8
Nuevos Negocios,APP,Hilo Musical,74466,Soundmachine Business (Hilo musical),,,15.83
Nuevos Negocios,APP,Hilo Musical,74470,Soundmachine Business Premium (Hilo musical),,,22.83
Nuevos Negocios,APP,Hilo Musical,181312,HILO MUSICAL - Edición Business,,,24.83
Nuevos Negocios,APP,Hilo Musical,181315,HILO MUSICAL- Edición Business Premium,,,30.83
Nuevos Negocios,APP-IoT,Ascensores,60355,LiftEye Servicio Ascensor M2M,,,5.0
Nuevos Negocios,APP-IoT,Ascensores,60359,Lifteye: Solucion de ascensores de Tamedbytes,,,2.5
Nuevos Negocios,APP-IoT,Locatel,64119,Locatel básico,,,96.0
Nuevos Negocios,APP-IoT,Locatel,444465,Dietagest - Aplicaciones,,,36.0
Nuevos Negocios,APP-IoT,Locatel,444466,Opticarga - Aplicaciones,,,36.0
Nuevos Negocios,APP-IoT,Locatel,444467,Databus - Aplicaciciones,,,36.0
Nuevos Negocios,APP-IoT,Locatel,444468,Optiflota - Aplicaciones,,,36.0
Nuevos Negocios,APP-IoT,Locatel,444469,Licencia Basico - Flotas IoT,,,96.0
Nuevos Negocios,APP-IoT,Locatel,444472,Licencia Mini - Flotas IoT,,,60.0
Nuevos Negocios,APP-IoT,Tacogest,64111,Tacogest,,,110.0
Nuevos Negocios,APP-IoT,Tacogest,444464,Tacogest - Aplicaciones,,,36.0
Nuevos Negocios,APP-IoT,Tacogest,444475,Licencia Pro - Tacogest IoT,,,110.0
